,内容,评价
0, 从编程小白的角度看，入门极佳。,好评
1,很好的入门书，简洁全面，适合小白。,好评
2,讲解全面，许多小细节都有顾及，三个小项目受益匪浅。,好评
3,前半部分讲概念深入浅出，要言不烦，很赞,好评
4,看了一遍还是不会写，有个概念而已,差评
5,中规中矩的教科书，零基础的看了依旧看不懂,差评
6,内容太浅显，个人认为不适合有其它语言编程基础的人,差评
7,破书一本,差评
8,适合完完全全的小白读，有其他语言经验的可以去看别的书,差评
9,基础知识写的挺好的！,好评
10,太基础,差评
11,略_嗦。。适合完全没有编程经验的小白,差评
12,真的真的不建议买,差评
13,真的超级喜欢！,好评
14,作为一本Java的入门书，head first我个人是非常推荐的.,好评
15,买这本书基本是花冤枉钱，因为该书的内容，实在过于肤浅，没有什么实质性的价值可取,差评
16,刚开始看，虽然还是有些专业名词难以理解，但整体还是讲的复杂，初学者可以慢慢跟着学,好评
17,不建议有一定编程基础的人买这本书，本书非常肤浅，且过于花哨,差评
18,作为初学者，还是看不懂更多，留着入门以后慢慢研究，包装很糟糕，书角都挤成一团了,差评
19,内容生动性：内容这个鬼翻译看的吃力，不少程序代码都不对！感觉像是盗版， 内容阅读感受：内容很枯燥，而且这个翻译绝对看着不对劲,差评
20,实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦,好评
